stock_symbol,timestamp,open,high,low,close,volume
MSFT,2024-05-30 07:53:00,425.47,425.47,425.3,425.34,719
MSFT,2024-05-30 07:52:00,425.5,425.5,425.4,425.47,339
MSFT,2024-05-30 07:51:00,425.46,425.5,425.46,425.47,841
MSFT,2024-05-30 07:50:00,425.44,425.46,425.43,425.46,194
MSFT,2024-05-30 07:49:00,425.41,425.41,425.39,425.41,67
MSFT,2024-05-30 07:48:00,425.45,425.45,425.39,425.43,233
MSFT,2024-05-30 07:47:00,425.42,425.47,425.42,425.45,398
MSFT,2024-05-30 07:45:00,425.36,425.4,425.35,425.36,231
MSFT,2024-05-30 07:44:00,425.33,425.36,425.21,425.25,1313
MSFT,2024-05-30 07:43:00,425.35,425.35,425.3,425.3,831
MSFT,2024-05-30 07:42:00,425.35,425.35,425.35,425.35,10
MSFT,2024-05-30 07:41:00,425.4,425.42,425.4,425.42,103
MSFT,2024-05-30 07:40:00,425.42,425.42,425.33,425.33,4
MSFT,2024-05-30 07:39:00,425.39,425.47,425.3,425.47,25
MSFT,2024-05-30 07:38:00,425.43,425.43,425.3,425.3,31
MSFT,2024-05-30 07:37:00,425.23,425.44,425.21,425.44,581
MSFT,2024-05-30 07:36:00,425.4,425.4,425.23,425.23,985
MSFT,2024-05-30 07:35:00,425.44,425.44,425.35,425.35,48
MSFT,2024-05-30 07:34:00,425.74,425.74,425.3,425.33,2930
MSFT,2024-05-30 07:33:00,425.61,425.71,425.61,425.71,58
MSFT,2024-05-30 07:32:00,425.66,425.66,425.54,425.54,519
MSFT,2024-05-30 07:31:00,425.73,425.73,425.73,425.73,1
MSFT,2024-05-30 07:30:00,425.6,425.66,425.6,425.66,24
MSFT,2024-05-30 07:29:00,425.6,425.6,425.55,425.6,54
MSFT,2024-05-30 07:28:00,425.61,425.68,425.59,425.68,102
MSFT,2024-05-30 07:27:00,425.64,425.67,425.6,425.67,140
MSFT,2024-05-30 07:26:00,425.67,425.68,425.5,425.5,1305
MSFT,2024-05-30 07:25:00,425.51,425.67,425.51,425.67,22
MSFT,2024-05-30 07:24:00,425.4,425.51,425.38,425.51,679
MSFT,2024-05-30 07:23:00,425.4,425.4,425.4,425.4,75
MSFT,2024-05-30 07:22:00,425.42,425.58,425.38,425.58,247
MSFT,2024-05-30 07:21:00,425.66,425.66,425.4,425.4,145
MSFT,2024-05-30 07:20:00,425.64,425.64,425.64,425.64,1
MSFT,2024-05-30 07:19:00,425.68,425.68,425.5,425.5,506
MSFT,2024-05-30 07:16:00,425.74,425.74,425.5,425.5,1074
MSFT,2024-05-30 07:15:00,425.7,425.76,425.6,425.76,744
MSFT,2024-05-30 07:14:00,425.73,425.77,425.72,425.72,75
MSFT,2024-05-30 07:13:00,425.79,425.79,425.75,425.75,35
MSFT,2024-05-30 07:12:00,425.81,425.83,425.75,425.83,187
MSFT,2024-05-30 07:11:00,425.85,425.87,425.83,425.83,124
MSFT,2024-05-30 07:10:00,425.85,425.89,425.73,425.87,1409
MSFT,2024-05-30 07:09:00,425.69,425.85,425.69,425.7,132
MSFT,2024-05-30 07:08:00,425.82,425.85,425.71,425.72,144
MSFT,2024-05-30 07:07:00,425.84,425.89,425.8,425.89,789
MSFT,2024-05-30 07:06:00,425.78,425.9,425.78,425.85,524
MSFT,2024-05-30 07:04:00,425.61,425.77,425.6,425.7,239
MSFT,2024-05-30 07:03:00,425.63,425.76,425.63,425.73,237
MSFT,2024-05-30 07:02:00,425.71,425.72,425.62,425.63,38
MSFT,2024-05-30 07:01:00,425.52,425.6,425.49,425.6,981
MSFT,2024-05-30 07:00:00,425.6,425.75,425.5,425.5,1816
MSFT,2024-05-30 06:59:00,425.69,425.69,425.67,425.69,53
MSFT,2024-05-30 06:58:00,425.68,425.7,425.68,425.7,50
MSFT,2024-05-30 06:57:00,425.6,425.68,425.6,425.67,27
MSFT,2024-05-30 06:56:00,425.64,425.66,425.64,425.66,12
MSFT,2024-05-30 06:55:00,425.61,425.61,425.55,425.55,75
MSFT,2024-05-30 06:54:00,425.6,425.63,425.55,425.55,132
MSFT,2024-05-30 06:53:00,425.63,425.64,425.62,425.62,14
MSFT,2024-05-30 06:52:00,425.7,425.7,425.64,425.64,7
MSFT,2024-05-30 06:51:00,425.76,425.76,425.55,425.6,1197
MSFT,2024-05-30 06:50:00,425.8,425.8,425.78,425.78,56
MSFT,2024-05-30 06:49:00,425.78,425.8,425.78,425.8,2
MSFT,2024-05-30 06:48:00,425.8,425.8,425.8,425.8,2
MSFT,2024-05-30 06:47:00,425.75,425.75,425.75,425.75,1
MSFT,2024-05-30 06:45:00,425.7,425.72,425.7,425.72,19
MSFT,2024-05-30 06:44:00,425.57,425.74,425.57,425.74,658
MSFT,2024-05-30 06:42:00,425.55,425.58,425.48,425.49,138
MSFT,2024-05-30 06:41:00,425.5,425.52,425.5,425.52,4
MSFT,2024-05-30 06:40:00,425.51,425.51,425.47,425.47,5
MSFT,2024-05-30 06:39:00,425.5,425.5,425.5,425.5,10
MSFT,2024-05-30 06:38:00,425.39,425.47,425.37,425.47,16
MSFT,2024-05-30 06:37:00,425.41,425.45,425.4,425.4,11
MSFT,2024-05-30 06:36:00,425.47,425.47,425.37,425.41,546
MSFT,2024-05-30 06:35:00,425.37,425.4,425.36,425.37,57
MSFT,2024-05-30 06:34:00,425.41,425.41,425.37,425.37,20
MSFT,2024-05-30 06:33:00,425.62,425.64,425.4,425.58,267
MSFT,2024-05-30 06:32:00,425.45,425.65,425.45,425.65,23
MSFT,2024-05-30 06:31:00,425.37,425.69,425.37,425.68,561
MSFT,2024-05-30 06:30:00,425.39,425.39,425.39,425.39,10
MSFT,2024-05-30 06:29:00,425.36,425.39,425.36,425.39,6
MSFT,2024-05-30 06:28:00,425.39,425.4,425.36,425.39,30
MSFT,2024-05-30 06:27:00,425.41,425.41,425.3,425.4,125
MSFT,2024-05-30 06:26:00,425.51,425.51,425.51,425.51,18
MSFT,2024-05-30 06:25:00,425.51,425.51,425.41,425.41,20
MSFT,2024-05-30 06:24:00,425.58,425.58,425.5,425.57,901
MSFT,2024-05-30 06:23:00,425.55,425.55,425.52,425.52,100
MSFT,2024-05-30 06:22:00,425.55,425.63,425.55,425.61,129
MSFT,2024-05-30 06:21:00,425.51,425.53,425.51,425.53,91
